protein,ligand,model_id,energy,cx,cy,cz
mut_N102T,heme_Co,67,-3.98,-0.09958333333333333,-0.056875,-0.04170833333333333
mut_N102T,heme_Co,68,-5.82,-0.12520833333333334,-0.07083333333333333,-0.04170833333333333
mut_N102T,heme_Co,69,-4.08,-0.15833333333333333,-0.0014583333333333332,-0.04170833333333333
mut_N102T,heme_Co,70,-4.07,-0.11229166666666666,-0.04625,-0.04170833333333333
mut_N102T,heme_Co,71,-3.95,-0.113125,-0.043333333333333335,-0.04170833333333333
mut_N102T,heme_Co,72,-5.38,-0.14020833333333332,-0.04708333333333333,-0.04170833333333333
mut_N102T,heme_Co,73,-2.87,-0.13479166666666667,0.0006249999999999999,-0.04170833333333333
mut_N102T,heme_Co,74,-3.33,-0.10395833333333333,-0.04020833333333333,-0.04170833333333333
mut_N102T,heme_Co,75,-3.93,-0.11645833333333333,-0.03979166666666667,-0.04170833333333333
mut_N102T,heme_Co,76,-3.76,-0.13604166666666667,-0.016041666666666666,-0.04170833333333333
mut_N102T,heme_Co,77,-3.42,-0.106875,-0.03916666666666667,-0.04170833333333333
mut_N102T,heme_Co,78,-3.82,-0.08291666666666667,-0.07020833333333333,-0.04170833333333333
mut_N102T,heme_Co,79,-6.31,-0.14520833333333333,-0.06041666666666667,-0.04170833333333333
mut_N102T,heme_Co,80,-4.65,-0.16104166666666667,-0.011041666666666668,-0.04170833333333333
mut_N102T,heme_Co,81,-5.33,-0.12958333333333333,-0.05625,-0.04170833333333333
mut_N102T,heme_Co,82,-3.81,-0.12291666666666667,-0.030625,-0.04170833333333333
mut_N102T,heme_Co,83,-4.84,-0.11270833333333334,-0.06270833333333334,-0.04170833333333333
mut_N102T,heme_Co,84,-4.84,-0.11083333333333334,-0.06479166666666666,-0.04170833333333333
mut_N102T,heme_Co,85,-4.84,-0.138125,-0.03791666666666667,-0.04170833333333333
mut_N102T,heme_Co,86,-2.88,-0.13395833333333335,0.0008333333333333333,-0.04170833333333333
mut_N102T,heme_Co,87,-3.61,-0.07541666666666666,-0.074375,-0.04170833333333333
mut_N102T,heme_Co,88,-5.32,-0.138125,-0.0475,-0.04170833333333333
mut_N102T,heme_Co,89,-6.98,-0.14875,-0.07208333333333333,-0.04170833333333333
mut_N102T,heme_Co,90,-3.14,-0.144375,0.004583333333333333,-0.04170833333333333
mut_N102T,heme_Co,91,-2.34,-0.12604166666666666,0.00375,-0.04170833333333333
mut_N102T,heme_Co,92,-5.68,-0.17604166666666668,-0.016874999999999998,-0.04170833333333333
mut_N102T,heme_Co,93,-3.44,-0.15645833333333334,0.010208333333333333,-0.04170833333333333
mut_N102T,heme_Co,94,-2.21,-0.11812500000000001,-0.0020833333333333337,-0.04170833333333333
mut_N102T,heme_Co,95,-3.18,-0.101875,-0.03875,-0.04170833333333333
mut_N102T,heme_Co,96,-3.08,-0.1025,-0.035833333333333335,-0.04170833333333333
mut_N102T,heme_Co,97,-3.25,-0.10166666666666667,-0.041666666666666664,-0.04170833333333333
mut_N102T,heme_Co,98,-3.13,-0.096875,-0.041875,-0.04170833333333333
mut_N102T,heme_Co,99,-3.14,-0.10354166666666667,-0.035416666666666666,-0.04170833333333333
mut_N102T,heme_Co,100,-4.28,-0.10833333333333334,-0.05583333333333333,-0.04170833333333333
mut_N102T,heme_Fe,1,-8.43,-0.17955555555555555,-0.07444444444444444,-0.04448888888888889
mut_N102T,heme_Fe,2,-7.83,-0.16755555555555557,-0.07400000000000001,-0.04448888888888889
mut_N102T,heme_Fe,3,-11.65,-0.2591111111111111,-0.06666666666666667,-0.04448888888888889
mut_N102T,heme_Fe,4,-8.21,-0.17266666666666666,-0.07644444444444444,-0.04448888888888889
mut_N102T,heme_Fe,5,-6.2,-0.18644444444444444,-0.017555555555555553,-0.04448888888888889
mut_N102T,heme_Fe,6,-5.37,-0.16822222222222222,-0.017333333333333336,-0.04448888888888889
mut_N102T,heme_Fe,7,-7.64,-0.15466666666666667,-0.082,-0.04448888888888889
mut_N102T,heme_Fe,8,-7.9,-0.1748888888888889,-0.06711111111111111,-0.04448888888888889
mut_N102T,heme_Fe,9,-7.56,-0.1497777777777778,-0.08555555555555557,-0.04448888888888889
mut_N102T,heme_Fe,10,-5.15,-0.1511111111111111,-0.029555555555555557,-0.04448888888888889
mut_N102T,heme_Fe,11,-7.22,-0.15555555555555556,-0.07088888888888889,-0.04448888888888889
mut_N102T,heme_Fe,12,-5.72,-0.17177777777777778,-0.021777777777777778,-0.04448888888888889
mut_N102T,heme_Fe,13,-7.68,-0.15977777777777777,-0.07777777777777778,-0.04448888888888889
mut_N102T,heme_Fe,14,-6.33,-0.1468888888888889,-0.059111111111111114,-0.04448888888888889
mut_N102T,heme_Fe,15,-7.31,-0.1471111111111111,-0.08022222222222222,-0.04448888888888889
mut_N102T,heme_Fe,16,-7.03,-0.18777777777777777,-0.035555555555555556,-0.04448888888888889
mut_N102T,heme_Fe,17,-9.92,-0.2331111111111111,-0.05311111111111111,-0.04448888888888889
mut_N102T,heme_Fe,18,-7.26,-0.1508888888888889,-0.07755555555555556,-0.04448888888888889
mut_N102T,heme_Fe,19,-5.14,-0.1708888888888889,-0.010444444444444444,-0.04448888888888889
mut_N102T,heme_Fe,20,-4.57,-0.16355555555555557,-0.0033333333333333335,-0.04448888888888889
mut_N102T,heme_Fe,21,-7.52,-0.16466666666666668,-0.06911111111111111,-0.04448888888888889
mut_N102T,heme_Fe,22,-5.12,-0.16911111111111113,-0.010888888888888889,-0.04448888888888889
mut_N102T,heme_Fe,23,-8.37,-0.17777777777777778,-0.07533333333333334,-0.04448888888888889
mut_N102T,heme_Fe,24,-6.84,-0.144,-0.07444444444444445,-0.04448888888888889
mut_N102T,heme_Fe,25,-7.51,-0.1808888888888889,-0.052,-0.04448888888888889
mut_N102T,heme_Fe,26,-8.2,-0.16111111111111112,-0.08711111111111111,-0.04448888888888889
mut_N102T,heme_Fe,27,-7.12,-0.2048888888888889,-0.018666666666666665,-0.04448888888888889
mut_N102T,heme_Fe,28,-7.54,-0.16622222222222222,-0.06822222222222223,-0.04448888888888889
mut_N102T,heme_Fe,29,-5.56,-0.17666666666666667,-0.012444444444444444,-0.04448888888888889
mut_N102T,heme_Fe,30,-8.36,-0.16644444444444445,-0.08533333333333333,-0.04448888888888889
mut_N102T,heme_Fe,31,-7.17,-0.2,-0.025111111111111112,-0.04448888888888889
mut_N102T,heme_Fe,32,-6.04,-0.16955555555555557,-0.031111111111111114,-0.04448888888888889
mut_N102T,heme_Fe,33,-7.95,-0.2031111111111111,-0.03911111111111111,-0.04448888888888889
mut_N102T,heme_Fe,34,-6.2,-0.16422222222222221,-0.03977777777777777,-0.04448888888888889
mut_N102T,heme_Fe,35,-8.33,-0.1711111111111111,-0.08044444444444444,-0.04448888888888889
mut_N102T,heme_Fe,36,-4.89,-0.16422222222222224,-0.010444444444444445,-0.04448888888888889
mut_N102T,heme_Fe,37,-7.19,-0.17844444444444443,-0.04711111111111111,-0.04448888888888889
mut_N102T,heme_Fe,38,-6.14,-0.128,-0.07377777777777778,-0.04448888888888889
mut_N102T,heme_Fe,39,-7.11,-0.154,-0.07044444444444445,-0.04448888888888889
mut_N102T,heme_Fe,40,-7.31,-0.2071111111111111,-0.021555555555555553,-0.04448888888888889
mut_N102T,heme_Fe,41,-6.06,-0.13311111111111112,-0.06711111111111111,-0.04448888888888889
mut_N102T,heme_Fe,42,-7.37,-0.15711111111111112,-0.07355555555555555,-0.04448888888888889
mut_N102T,heme_Fe,43,-7.98,-0.16777777777777778,-0.07555555555555556,-0.04448888888888889
mut_N102T,heme_Fe,44,-5.14,-0.16844444444444445,-0.011777777777777778,-0.04448888888888889
mut_N102T,heme_Fe,45,-4.91,-0.14755555555555555,-0.02822222222222222,-0.04448888888888889
mut_N102T,heme_Fe,46,-7.81,-0.16844444444444445,-0.07155555555555555,-0.04448888888888889
mut_N102T,heme_Fe,47,-6.52,-0.15733333333333333,-0.05466666666666666,-0.04448888888888889
mut_N102T,heme_Fe,48,-4.91,-0.16511111111111113,-0.010222222222222223,-0.04448888888888889
mut_N102T,heme_Fe,49,-5.48,-0.17066666666666666,-0.017333333333333333,-0.04448888888888889
mut_N102T,heme_Fe,50,-7.83,-0.15577777777777777,-0.08422222222222223,-0.04448888888888889
mut_N102T,heme_Fe,51,-5.64,-0.17466666666666666,-0.016666666666666666,-0.04448888888888889
